Final Size: 1320

Character: Times of appearance in text

이: 12407 의: 11296 다: 10315 에: 9654  는: 8034
왼: 10    곰: 10    웰: 10    잭: 10    랙: 10
윈: 10    멀: 10    꿔: 10    빗: 10    낳: 10
촛: 10    뽑: 10    픈: 10    즌: 10    롬: 10
닝: 10    딘: 10    랴: 10    흡: 9     뮈: 9
찌: 9     닭: 9     닿: 9     짧: 9     큐: 9
힐: 9     룹: 9     꾼: 9     잦: 9     낀: 9
옵: 9     뷰: 9     곽: 9     뱅: 9     샬: 8
걷: 8     밑: 8     뻗: 8     딩: 8     띠: 8
콧: 8     꿈: 8     녔: 8     눌: 8     듬: 8
꼴: 8     끈: 8     숫: 8     댈: 8     럿: 8
갯: 8     벳: 8     밤: 8     볜: 8     뮌: 7
틸: 7     캄: 7     갱: 7     닥: 7     휩: 7
츰: 7     퉁: 7     멍: 7     훗: 7     뭄: 7
팡: 7     냄: 7     둑: 7     닫: 7     꼭: 7
갚: 7     딜: 7     횡: 7     컷: 7     앵: 7
뚜: 7     껴: 7     긍: 7     렴: 7     훔: 7
쏟: 7     빔: 7     엑: 7     튜: 7     듀: 7
펀: 7     쎄: 7     쒸: 7     쿼: 6     킴: 6
랫: 6     럭: 6     딱: 6     닐: 6     꽤: 6
떼: 6     괌: 6     릎: 6     닮: 6     틱: 6
밴: 6     훌: 6     팅: 6     뱌: 6     텝: 6
잎: 6     톈: 6     됭: 5     룽: 5     끔: 5
꾀: 5     펄: 5     춰: 5     굽: 5     왓: 5
닙: 5     겁: 5     깔: 5     햇: 5     뭔: 5
늬: 5     뼈: 5     뤘: 5     븐: 5     빵: 5
퀴: 5     룰: 5     톰: 5     륭: 5     캡: 5
셋: 5     늄: 5     턱: 5     굉: 5     탬: 5
옷: 5     쁜: 5     봤: 5     엉: 5     딴: 5
뀐: 5     콥: 5     헥: 5     숍: 5     묶: 5
쯤: 5     렐: 5     탠: 5     촘: 5     엥: 5
셸: 5     쑤: 5     숄: 4     깝: 4     몫: 4
쿨: 4     쿡: 4     딕: 4     톡: 4     뇨: 4
늑: 4     밟: 4     샘: 4     벼: 4     옳: 4
볕: 4     짝: 4     붓: 4     멈: 4     춤: 4
렷: 4     겹: 4     샀: 4     띄: 4     쾌: 4
컸: 4     갤: 4     횟: 4     첩: 4     맵: 4
덧: 4     솟: 4     죠: 4     뭉: 4     밥: 4
탤: 4     흩: 4     롄: 4     릿: 4     맙: 4
꺽: 4     뎀: 4     궤: 4     쫓: 4     냔: 4
솝: 4     샹: 4     셴: 4     낫: 4     괜: 4
찮: 4     팝: 4     돋: 4     쑨: 4     쭈: 4
벵: 4     눠: 3     쏠: 3     헐: 3     좁: 3
퀘: 3     쾨: 3     뱀: 3     틈: 3     앉: 3
헴: 3     챙: 3     굶: 3     팬: 3     믹: 3
릅: 3     랬: 3     잣: 3     뻔: 3     끗: 3
얘: 3     놈: 3     얄: 3     댓: 3     퐁: 3
팩: 3     핸: 3     뜬: 3     홉: 3     딪: 3
걱: 3     탔: 3     맛: 3     둡: 3     쌀: 3
줌: 3     죤: 3     앱: 3     젖: 3     삐: 3
넌: 3     팜: 3     굼: 3     꿨: 3     ㅁ: 3
왈: 3     잊: 3     ㅋ: 3     놨: 3     낄: 3
